nome_bairro,desc_atividade,nome_grupo,n
VARZEA,"INSTALAÇÃO E MANUTENÇÃO DE SIST CENTRAIS DE AR CONDIC, DE VENTIL E REFRIGERAÇÃO","INSTALACAO, COLOCACAO E MONTAGEM",3
VARZEA,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS",CONSERVAÇÃO E LIMPEZA,3
VARZEA,MOTÉIS,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",3
VARZEA,OUTRAS OBRAS DE INSTALAÇÕES EM CONSTRUÇÕES NÃO ESPECIFICADAS ANTERIORMENTE,"INSTALACAO, COLOCACAO E MONTAGEM",3
VARZEA,PEIXARIA,OUTRAS ATIVIDADES VAREJISTAS,3
VARZEA,PREPARACAO DE DOCUMENTOS E SERV ESPECIALIZ DE APOIO ADMINIST N/ ESP ANTERIORMENTE,OUTROS SERVICOS,3
VARZEA,PRODUÇÃO MUSICAL,DIVERSOES PUBLICAS,3
VARZEA,"REPRESENTANTES COM E AGENTES DO COM DE MEDICAM, COSMÉT E PROD DE PERFUMARIA","REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",3
VARZEA,SEDES DE EMPRESAS E UNIDADES ADMINISTRATIVAS LOCAI,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",3
VARZEA,"SERVIÇO DE PREPARAÇÃO DE TERRENO, CULTIVO E COLHEITA",OUTROS SERVICOS,3
VARZEA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,OUTROS SERVICOS,3
VARZEA,SERVIÇOS DE ENTREGA RÁPIDA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",3
VARZEA,"SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE VEÍCULOS AUTOMOTORES",CONSERVAÇÃO E LIMPEZA,3
VARZEA,SERVIÇOS DE PRÉ-IMPRESSÃO,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",3
VARZEA,ADMINISTRAÇÃO PÚBLICA EM GERAL,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",2
VARZEA,Alojamento de animais domésticos,VETERINARIO E SIMILARES,2
VARZEA,ALUGUEL DE IMÓVEIS PRÓPRIOS,OUTROS SERVICOS,2
VARZEA,"ARTES CENICAS, ESPETACULOS E ATIVIDADES COMPLEMENTARES NAO ESPECIF ANTERIORMENTE",DIVERSOES PUBLICAS,2
